"target_piece","loc_removed","remove_value","file_removed","rank_removed"
"R","a1",730,1,1
"R","a1",679,1,1
"R","a1",673,1,1
"R","a1",609,1,1
"R","a1",766,1,1
"R","a1",835,1,1
"R","a1",853,1,1
"R","d1",820,4,1
"R","d1",756,4,1
"R","d1",740,4,1
"R","d1",732,4,1
"R","d1",723,4,1
"R","d1",758,4,1
"R","d1",743,4,1
"R","d1",720,4,1
"R","d1",753,4,1
"R","d1",784,4,1
"R","d1",795,4,1
"R","d1",709,4,1
"R","d1",840,4,1
"R","d1",791,4,1
"R","d1",845,4,1
"R","d1",719,4,1
"R","d1",688,4,1
"R","d1",733,4,1
"R","d1",681,4,1
"R","d1",689,4,1
"R","a1",740,1,1
"R","a1",768,1,1
"R","a1",620,1,1
"R","a1",662,1,1
"R","a1",700,1,1
"R","a1",660,1,1
"R","a1",744,1,1
"R","a1",808,1,1
"R","a1",993,1,1
"R","a1",1116,1,1
"R","a1",645,1,1
"R","a1",1496,1,1
"R","a1",606,1,1
"R","a1",507,1,1
"R","a1",498,1,1
"R","a1",500,1,1
"R","a1",686,1,1
"R","d1",658,4,1
"R","d1",672,4,1
"R","d2",647,4,2
"R","d2",704,4,2
"R","e2",631,5,2
"R","e2",539,5,2
"R","e2",648,5,2
"R","e2",438,5,2
"R","e1",608,5,1
"R","e1",633,5,1
"R","e1",1014,5,1
"R","e1",652,5,1
"R","e1",728,5,1
"R","e1",834,5,1
"R","d4",671,4,4
"R","d4",682,4,4
"R","d4",1264,4,4
"R","d4",816,4,4
"R","d4",770,4,4
"R","d4",849,4,4
"R","d4",891,4,4
"R","d4",1516,4,4
"R","d4",1208,4,4
"R","e4",159,5,4
"R","g1",430,7,1
"R","g1",838,7,1
"R","g1",920,7,1
"R","g1",646,7,1
"R","g1",513,7,1
"R","g1",670,7,1
"R","g1",1033,7,1
"R","b1",653,2,1
"R","b1",706,2,1
"R","c1",722,3,1
"R","b1",643,2,1
"R","f5",309,6,5
"R","a1",631,1,1
"R","a1",653,1,1
"R","a1",667,1,1
"R","a1",660,1,1
"R","a1",539,1,1
"R","a1",647,1,1
"R","a1",618,1,1
"R","a1",668,1,1
"R","a1",578,1,1
"R","a1",616,1,1
"R","a1",605,1,1
"R","a1",596,1,1
"R","a1",603,1,1
"R","a1",613,1,1
"R","a1",574,1,1
"R","a1",634,1,1
"R","a1",662,1,1
"R","a1",669,1,1
"R","a1",613,1,1
"R","a1",730,1,1
"R","a1",662,1,1
"R","a1",623,1,1
"R","a1",769,1,1
"R","a1",608,1,1
"R","a1",661,1,1
"R","a1",670,1,1
"R","a1",676,1,1
"R","a1",730,1,1
"R","a1",646,1,1
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",629,1,1
"R","a1",695,1,1
"R","a1",609,1,1
"R","a1",601,1,1
"R","a1",619,1,1
"R","a1",694,1,1
"R","a1",637,1,1
"R","a1",647,1,1
"R","a1",638,1,1
"R","a1",675,1,1
"R","a1",620,1,1
"R","a1",678,1,1
"R","a1",689,1,1
"R","a1",688,1,1
"R","a1",684,1,1
"R","a1",679,1,1
"R","a1",721,1,1
"R","a1",723,1,1
"R","a1",686,1,1
"R","a1",701,1,1
"R","a1",523,1,1
"R","a1",655,1,1
"R","a1",632,1,1
"R","a1",719,1,1
"R","a1",667,1,1
"R","a1",737,1,1
"R","a1",698,1,1
"R","a1",845,1,1
"R","c1",699,3,1
"R","c1",729,3,1
"R","c1",756,3,1
"R","c1",763,3,1
"R","c1",733,3,1
"R","c1",711,3,1
"R","c1",778,3,1
"R","c1",702,3,1
"R","c1",669,3,1
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",639,1,1
"R","a1",650,1,1
"R","a1",684,1,1
"R","a1",715,1,1
"R","a1",713,1,1
"R","a1",714,1,1
"R","a1",699,1,1
"R","a1",672,1,1
"R","a1",677,1,1
"R","a1",517,1,1
"R","a1",632,1,1
"R","a1",655,1,1
"R","a1",631,1,1
"R","a1",664,1,1
"R","a1",624,1,1
"R","a1",654,1,1
"R","a1",661,1,1
"R","a1",701,1,1
"R","a1",699,1,1
"R","a1",699,1,1
"R","a1",646,1,1
"R","a1",685,1,1
"R","a1",614,1,1
"R","a1",671,1,1
"R","a1",631,1,1
"R","a1",648,1,1
"R","a1",662,1,1
"R","a1",640,1,1
"R","a1",660,1,1
"R","a1",671,1,1
"R","a1",684,1,1
"R","a1",712,1,1
"R","a1",785,1,1
"R","a1",847,1,1
"R","a1",797,1,1
"R","a1",680,1,1
"R","a1",504,1,1
"R","a1",536,1,1
"R","a1",473,1,1
"R","a1",545,1,1
"R","a1",530,1,1
"R","a1",407,1,1
"R","d1",433,4,1
"R","d1",454,4,1
"R","d1",432,4,1
"R","d1",502,4,1
"R","d1",427,4,1
"R","d1",646,4,1
"R","a1",641,1,1
"R","a1",634,1,1
"R","a1",626,1,1
"R","a1",683,1,1
"R","a1",599,1,1
"R","a1",622,1,1
"R","a1",652,1,1
"R","a1",677,1,1
"R","a1",643,1,1
"R","a1",708,1,1
"R","a1",1033,1,1
"R","a1",687,1,1
"R","a1",601,1,1
"R","a1",658,1,1
"R","a1",631,1,1
"R","a1",627,1,1
"R","a1",694,1,1
"R","a1",647,1,1
"R","a1",634,1,1
"R","a1",678,1,1
"R","a1",592,1,1
"R","a1",718,1,1
"R","a1",676,1,1
"R","a1",614,1,1
"R","a1",681,1,1
"R","a1",674,1,1
"R","a1",710,1,1
"R","a1",722,1,1
"R","a1",683,1,1
"R","a1",748,1,1
"R","a1",729,1,1
"R","a1",722,1,1
"R","a1",719,1,1
"R","a1",746,1,1
"R","a1",700,1,1
"R","a1",763,1,1
"R","a1",725,1,1
"R","a1",836,1,1
"R","a1",808,1,1
"R","a1",717,1,1
"R","a1",799,1,1
"R","a1",786,1,1
"R","a1",1736,1,1
"R","a1",913,1,1
"R","a1",776,1,1
"R","a1",806,1,1
"R","a1",745,1,1
"R","a1",1794,1,1
"R","a1",891,1,1
"R","a1",1064,1,1
"R","a1",827,1,1
"R","b1",541,2,1
"R","b1",798,2,1
"R","e1",959,5,1
"R","e1",824,5,1
"R","e1",686,5,1
"R","e1",846,5,1
"R","e1",1434,5,1
"R","e1",443,5,1
"R","e1",421,5,1
"R","a1",668,1,1
"R","a1",666,1,1
"R","a1",640,1,1
"R","a1",536,1,1
